loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,dti,delinq_2yrs,revol_util,total_acc,purpose,age,default
4034, 36 months,15.03,D,9 years,MORTGAGE,34368,18.22,0,48.39,21,debt_consolidation,69,1
27314, 36 months,19.65,A,5 years,OTHER,46879,25.64,2,28.7,10,debt_consolidation,23,1
23255, 60 months,8.76,A,7 years,RENT,81018,6.15,0,25.18,24,debt_consolidation,26,1
15921, 60 months,13.88,E,10+ years,RENT,64285,44.75,1,72.62,35,debt_consolidation,21,0
15722, 36 months,15.65,C,< 1 year,OWN,50684,9.04,0,24.26,38,debt_consolidation,69,0
30192, 36 months,19.71,A,1 year,RENT,37908,18.25,0,93.12,43,credit_card,43,1
3922, 60 months,24.29,D,10+ years,OWN,34604,15.02,0,40.3,14,other,68,1
24710, 60 months,21.97,C,6 years,OWN,61047,15.42,0,63.36,14,debt_consolidation,50,0
7849, 36 months,17.43,E,6 years,MORTGAGE,125774,7.87,0,4.28,35,debt_consolidation,67,1
4202, 36 months,16.67,D,3 years,RENT,81974,24.61,0,44.89,35,credit_card,65,0
18900, 36 months,17.06,A,9 years,RENT,25014,7.31,0,39.96,16,debt_consolidation,26,1
34171, 36 months,15.9,A,7 years,MORTGAGE,86216,0.0,0,75.47,17,debt_consolidation,72,1
26015, 36 months,6.19,B,2 years,RENT,42233,4.9,0,5.54,11,debt_consolidation,48,0
26878, 36 months,18.97,D,7 years,OWN,64854,28.01,0,40.24,35,debt_consolidation,53,1
25394, 36 months,19.33,C,< 1 year,RENT,47334,26.25,0,85.81,7,debt_consolidation,34,1
27726, 60 months,15.25,D,2 years,RENT,125683,0.0,0,66.85,26,debt_consolidation,65,0
18449, 36 months,22.41,C,2 years,OWN,30977,22.32,1,77.74,19,credit_card,25,1
5355, 36 months,18.45,B,8 years,RENT,74408,0.0,0,76.33,25,debt_consolidation,28,0
29551, 36 months,12.25,A,8 years,MORTGAGE,44440,14.75,0,66.19,41,major_purchase,33,1
16313, 36 months,5.39,A,1 year,OWN,87165,4.13,0,39.13,36,debt_consolidation,65,1
18011, 36 months,6.18,B,9 years,MORTGAGE,73804,23.02,0,39.94,40,debt_consolidation,65,1
13607, 36 months,12.04,C,8 years,MORTGAGE,102637,19.99,1,5.12,32,debt_consolidation,34,1
7206, 36 months,14.24,F,4 years,RENT,86544,23.82,0,19.5,20,major_purchase,50,1
32510, 36 months,8.34,A,2 years,RENT,44194,12.34,1,55.81,43,debt_consolidation,43,1
27573, 60 months,8.79,D,4 years,MORTGAGE,152486,13.28,0,89.51,26,debt_consolidation,50,1
22891, 36 months,9.6,A,6 years,RENT,81663,1.51,1,61.22,18,debt_consolidation,22,1
14682, 60 months,20.61,D,6 years,RENT,48480,5.73,0,38.7,38,other,44,0
28973, 60 months,20.43,A,3 years,RENT,71166,23.54,1,83.19,43,other,46,1
19544, 60 months,12.66,D,1 year,OWN,83925,18.31,0,44.88,23,credit_card,21,1
16076, 36 months,8.45,A,6 years,RENT,82784,15.94,0,25.99,37,debt_consolidation,56,0
16315, 36 months,7.22,A,7 years,RENT,79881,26.36,0,8.01,23,debt_consolidation,41,0
8726, 36 months,6.74,C,2 years,OWN,93994,3.3,0,82.86,23,debt_consolidation,34,1
4132, 36 months,12.83,B,7 years,MORTGAGE,91045,21.48,2,61.6,25,debt_consolidation,63,1
19855, 36 months,5.91,C,6 years,RENT,39573,4.39,1,58.08,24,small_business,64,0
31188, 60 months,11.67,B,5 years,MORTGAGE,128242,28.3,0,72.07,40,credit_card,34,1
3169, 36 months,24.23,F,< 1 year,OWN,124067,19.9,0,60.5,40,debt_consolidation,71,0
30181, 36 months,15.15,B,3 years,RENT,89029,23.68,0,35.05,36,credit_card,21,1
29139, 36 months,21.45,C,4 years,RENT,66161,8.69,0,61.76,27,debt_consolidation,51,0
10409, 36 months,7.59,E,9 years,RENT,66677,34.64,0,14.0,7,debt_consolidation,59,1
22476, 36 months,10.36,D,9 years,RENT,55287,32.99,1,29.62,17,debt_consolidation,34,0
6617, 36 months,23.93,B,9 years,MORTGAGE,59168,18.87,0,53.73,8,debt_consolidation,40,1
26774, 36 months,12.67,C,5 years,RENT,8000,25.58,0,6.91,4,debt_consolidation,59,1
24817, 36 months,17.97,A,3 years,OTHER,110908,12.28,0,82.18,29,debt_consolidation,40,1
13053, 36 months,24.52,C,5 years,RENT,100324,3.58,0,4.46,15,major_purchase,36,0
3309, 36 months,16.02,B,8 years,RENT,14699,22.16,0,37.24,6,major_purchase,55,0
34003, 36 months,11.11,D,6 years,OWN,91700,6.73,0,45.44,12,debt_consolidation,29,0
16153, 60 months,15.64,E,6 years,MORTGAGE,64769,26.79,0,68.07,5,credit_card,51,0
31366, 36 months,6.09,A,4 years,RENT,59029,24.43,0,15.49,8,debt_consolidation,36,1
24049, 36 months,7.25,A,7 years,RENT,79785,17.12,0,82.14,23,debt_consolidation,38,1
27465, 36 months,5.14,B,9 years,OWN,12716,16.61,0,42.61,31,debt_consolidation,44,1
26836, 36 months,22.68,C,7 years,RENT,64663,23.9,0,25.11,36,debt_consolidation,60,0
7617, 36 months,18.43,B,4 years,OWN,67384,17.47,0,9.83,19,debt_consolidation,33,0
13372, 36 months,10.97,C,9 years,MORTGAGE,67413,11.36,1,92.53,34,credit_card,57,0
16868, 60 months,9.42,C,10+ years,RENT,23975,1.37,0,40.34,6,credit_card,39,1
17924, 36 months,18.66,F,8 years,MORTGAGE,78407,23.63,0,38.13,8,debt_consolidation,69,1
2489, 36 months,23.39,B,9 years,RENT,96794,18.3,1,18.02,16,debt_consolidation,42,0
19583, 36 months,10.98,A,2 years,MORTGAGE,77220,39.8,0,50.63,29,credit_card,43,0
